Id,Name,Category,ChestMain,DeltoidAnterior,DeltoidLateral,DeltoidPosterior,Biceps,Triceps,Forearms,Lats,Rhomboids,LowerBack,Abs,CoreStabilizers,Quadriceps,Hamstrings,Glutes,Calves
1169,cable overhead triceps extension (rope attachment),upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1170,cable preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1171,cable pull through (with rope),upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0
1172,cable pulldown (pro lat bar),back,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1173,cable pulldown,back,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.8,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1174,cable pushdown (straight arm) v. 2,back,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1175,cable pushdown (with rope attachment),upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1176,cable pushdown,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1177,cable rear delt row (stirrups),shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1178,cable rear delt row (with rope),shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1179,cable rear drive,upper arms,0.0,0.0,0.0,0.4,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1180,cable rear pulldown,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1181,cable reverse curl,upper arms,0.0,0.0,0.0,0.0,0.5,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1182,cable reverse-grip pushdown,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1183,cable reverse-grip straight back seated high row,back,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.7,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1184,cable reverse preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1185,cable reverse wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1186,cable russian twists (on stability ball),waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.5,0.0,0.0,0.0,0.0
1187,cable seated crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1188,cable seated high row (v-bar),back,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,0.7,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1189,cable seated one arm alternate row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.4,0.0,0.0,0.0,0.0
1190,cable seated rear lateral raise,shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1191,cable seated shoulder internal rotation,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1192,cable seated wide-grip row,back,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.9,0.4,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1193,cable shoulder press,shoulders,0.0,0.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1194,cable shrug,back,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1195,cable side bend crunch (bosu ball),waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1197,cable side crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1198,cable standing back wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1199,cable standing cross-over high reverse fly,shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200,cable standing crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1201,cable standing fly,chest,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1202,cable standing hip extension,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5,0.8,0.0
1203,cable standing inner curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1204,cable standing lift,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.4,0.0,0.6,0.4,0.0,0.3,0.0
1205,cable standing one arm triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1206,cable standing pulldown (with rope),upper arms,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207,cable standing rear delt row (with rope),shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1208,cable standing row (v-bar),back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1209,cable standing shoulder external rotation,shoulders,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1223,chest dip,chest,0.8,0.3,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0
1210,cable standing twist row (v-bar),back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1211,cable straight arm pulldown (with rope),back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1212,cable straight arm pulldown,back,0.0,0.0,0.0,0.2,0.1,0.3,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1213,cable straight back seated row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.15,0.0,0.15,0.0,0.0,0.0,0.0
1214,cable supine reverse fly,shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1215,cable triceps pushdown (v-bar),upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1216,cable tuck reverse crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1217,cable twist,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.7,0.5,0.0,0.0,0.0,0.0
1218,cable twisting pull,back,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1219,cable underhand pulldown,back,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1220,cable upright row,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1221,cable wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1222,cambered bar lying row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1224,chin-ups (narrow parallel grip),back,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1225,circles knee stretch,lower legs,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.1
1226,clock push-up,chest,0.8,0.3,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1227,close-grip push-up,upper arms,0.3,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1228,cocoons,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3,0.0,0.0,0.0
1229,cross body crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1230,crunch (hands overhead),waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1231,crunch (on stability ball),waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1232,"crunch (on stability ball, arms straight)",waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1233,crunch floor,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1234,dead bug,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.2,0.0,0.0,0.0
1235,decline crunch,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0,0.0,0.0,0.0
1236,decline push-up,chest,0.9,0.15,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1237,decline sit-up,waist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.3,0.0,0.0,0.0
1238,diamond push-up,upper arms,0.3,0.3,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1239,donkey calf raise,lower legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1240,dumbbell alternate biceps curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1241,dumbbell alternate side press,shoulders,0.0,0.7,0.4,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1242,dumbbell arnold press v. 2,shoulders,0.0,0.8,0.6,0.3,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1243,dumbbell around pullover,chest,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1244,dumbbell bench press,chest,1.0,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1245,dumbbell bench seated press,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1246,dumbbell bench squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1247,dumbbell one arm bent-over row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.4,0.0,0.4,0.0,0.0,0.0,0.0
1248,dumbbell bent over row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.4,0.0,0.3,0.0,0.0,0.0,0.0
1249,dumbbell biceps curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1250,dumbbell clean,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.7,0.3,0.5,0.2
1251,dumbbell close-grip press,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1252,dumbbell concentration curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,dumbbell incline raise,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1253,dumbbell cross body hammer curl,upper arms,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1254,dumbbell cuban press,shoulders,0.0,0.6,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1255,dumbbell deadlift,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.6,0.0,0.6,0.4,0.6,0.7,0.0
1256,dumbbell decline bench press,chest,1.0,0.15,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1257,dumbbell decline fly,chest,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,dumbbell decline hammer press,chest,0.8,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1259,dumbbell decline shrug v. 2,back,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1260,dumbbell decline shrug,back,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1261,dumbbell decline triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1262,dumbbell decline twist fly,chest,1.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1263,dumbbell fly,chest,1.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1264,dumbbell front raise v. 2,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1265,dumbbell front raise,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1266,dumbbell full can lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1281,dumbbell incline rear lateral raise,shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1267,dumbbell hammer curl v. 2,upper arms,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1268,dumbbell hammer curl,upper arms,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1269,dumbbell incline bench press,chest,0.9,0.5,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1270,dumbbell incline biceps curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1271,dumbbell incline breeding,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1272,dumbbell incline curl v. 2,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1273,dumbbell incline curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1274,dumbbell incline fly,chest,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1275,dumbbell incline hammer curl,upper arms,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1276,dumbbell incline hammer press,chest,0.8,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1277,dumbbell incline inner biceps curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1278,dumbbell incline one arm lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1279,dumbbell incline palm-in press,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1282,dumbbell incline row,back,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1283,dumbbell incline shoulder raise,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1284,dumbbell incline shrug,back,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1285,dumbbell incline triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1286,dumbbell incline twisted flyes,chest,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1287,dumbbell iron cross,shoulders,0.4,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0
1288,dumbbell kickback,upper arms,0.0,0.0,0.0,0.2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,dumbbell lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,dumbbell lateral to front raise,shoulders,0.1,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1291,dumbbell lunge,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.8,0.4,0.7,0.0
1292,dumbbell lying extension (across face),upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1293,dumbbell lying elbow press,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1294,dumbbell lying femoral,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.4,0.0
1295,dumbbell lying hammer press,chest,0.8,0.2,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1296,dumbbell lying one arm deltoid rear,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1297,dumbbell lying one arm press v. 2,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1298,dumbbell lying one arm press,chest,0.8,0.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,dumbbell lying one arm pronated triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1300,dumbbell lying one arm rear lateral raise,shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1301,dumbbell lying one arm supinated triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1302,dumbbell lying pronation,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1303,dumbbell lying rear lateral raise,shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1304,dumbbell lying supination,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1305,dumbbell lying supine curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1306,dumbbell lying triceps extension,upper arms,0.0,0.0,0.0,0.1,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1307,dumbbell neutral grip bench press,upper arms,0.5,0.2,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1308,dumbbell one arm concentration curl (on stability ball),upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1309,dumbbell one arm kickback,upper arms,0.0,0.0,0.0,0.2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1310,dumbbell one arm lateral raise,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1339,dumbbell reverse wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1311,dumbbell one arm lateral raise with support,shoulders,0.0,0.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1312,dumbbell one arm reverse wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1313,dumbbell one arm reverse fly (with support),shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1314,dumbbell one arm shoulder press v. 2,shoulders,0.0,0.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1315,dumbbell one arm shoulder press,shoulders,0.0,0.8,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
1316,dumbbell one arm triceps extension (on bench),upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1317,dumbbell one arm upright row,shoulders,0.0,0.3,0.8,0.0,0.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1318,dumbbell one arm wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1319,dumbbell over bench neutral wrist curl,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1320,dumbbell over bench one arm neutral wrist curl,upper arms,0.0,0.0,0.0,0.0,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1321,dumbbell over bench one arm wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1322,dumbbell over bench reverse wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1323,dumbbell over bench wrist curl,lower arms,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1324,dumbbell preacher hammer curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1370,dumbbell standing calf raise,lower legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1325,dumbbell plyo squat,upper legs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.4,0.9,0.3,0.6,0.0
1326,dumbbell preacher curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1327,dumbbell pronate-grip triceps extension,upper arms,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1328,dumbbell prone incline curl,upper arms,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1329,dumbbell pullover,chest,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1330,dumbbell raise,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1331,dumbbell rear delt row (shoulder),shoulders,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1332,dumbbell rear fly,shoulders,0.0,0.5,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1333,dumbbell rear lateral raise (support head),shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1334,dumbbell rear lateral raise,shoulders,0.0,0.2,0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
